ENSAIOS,QtRatos,BP,BSM,A*,BL,BPI,
NVISIT, 4, 5, 5, 5, 15, 5, 
TEMPO, 4, 22, 0, 17, 5, 1, 
NABERT, 4, 2, 0, 4, 9, 2, 
CUSTO, 4, 11, 8, 8, 12, 11, 
NVISIT, 5, 6, 6, 6, 70, 6, 
TEMPO, 5, 2, 1, 1, 21, 2, 
NABERT, 5, 8, 0, 7, 59, 8, 
CUSTO, 5, 11, 9, 9, 15, 11, 
NVISIT, 6, 7, 7, 7, 42, 7, 
TEMPO, 6, 2, 4, 3, 14, 1, 
NABERT, 6, 5, 0, 3, 20, 5, 
CUSTO, 6, 22, 20, 20, 28, 22, 
NVISIT, 8, 9, 156, 9, 6395, 9, 
TEMPO, 8, 3, 43, 3, 841, 1, 
NABERT, 8, 20, 0, 16, 12599, 20, 
CUSTO, 8, 48, 24, 24, 42, 48, 
NVISIT, 10, 11, 11, 11, , 11, 
TEMPO, 10, 0, 1, 0, , 1, 
NABERT, 10, 39, 0, 20, , 39, 
CUSTO, 10, 74, 54, 54, , 74, 
NVISIT, 20, 21, 944, 31, , 21, 
TEMPO, 20, 2, 100, 3, , 1, 
NABERT, 20, 49, 0, 98, , 49, 
CUSTO, 20, 282, 74, 74, , 282, 
NVISIT, 100, 101, 2214, 105, , 101, 
TEMPO, 100, 357, 3885, 248, , 196, 
NABERT, 100, 2738, 0, 2989, , 2738, 
CUSTO, 100, 6526, 513, 513, , 6526, 
NVISIT, 300, 301, 301, 301, , 301, 
TEMPO, 300, 6183, 5117, 6380, , 5248, 
NABERT, 300, 24965, 0, 27326, , 24965, 
CUSTO, 300, 54860, 1637, 1637, , 54860, 
NVISIT, 500, 501, 465586, 511, , 501, 
TEMPO, 500, 23742, 15442011, 41220, , 24740, 
NABERT, 500, 69240, 0, 77762, , 69240, 
CUSTO, 500, 160465, 3854, 3854, , 160465, 
NVISIT, 1000, , , , , , 
TEMPO, 1000, , , , , , 
NABERT, 1000, , , , , , 
CUSTO, 1000, , , , , , 
